customer_id,payment_month,payment_method_id,total_transactions,total_volume
3120659,2020-01-01,3,241,2543.28
3627499,2020-01-01,3,430,27037
3611429,2020-01-01,3,117,6100
3772639,2020-01-01,3,27,720.56
3789659,2020-01-01,3,15,440.35
3845539,2020-01-01,3,246,6682.9
3880439,2020-01-01,3,49,7381.67
3812319,2020-01-01,3,479,9498.22
3743799,2020-01-01,3,58,10547.7
3832619,2020-01-01,3,9,134
3777679,2020-01-01,3,182,7383.58
3840259,2020-01-01,3,44,167.2
3858149,2020-01-01,3,87,5261.05
3826769,2020-01-01,3,112,2931.83
3340789,2020-01-01,3,267,9777.5
3807169,2020-01-01,3,274,8804.36
3795239,2020-01-01,3,113,62468.1
3825389,2020-01-01,3,103,2722.25
3752679,2020-01-01,3,13,287.5
3746259,2020-01-01,3,151,2831.6
3815749,2020-01-01,3,18,1076.7
3864149,2020-01-01,3,101,3246.67
3788999,2020-01-01,3,117,1420.35
605802,2020-01-01,3,13,464.89
3044739,2020-01-01,3,31,437.04
2541266,2020-01-01,3,9,107
3000636,2020-01-01,3,2,159.95
2940106,2020-01-01,3,23,6558.66
2677676,2020-01-01,3,138,1723.63
3712359,2020-01-01,3,16,1136.45
3834559,2020-01-01,3,18,672.63
3759959,2020-01-01,3,44,3976.71
3864549,2020-01-01,3,42,1560.05
3760709,2020-01-01,3,15,423.38
3812859,2020-01-01,3,7,16.05
3729979,2020-01-01,3,9,494
3828049,2020-01-01,3,5,102.5
3839009,2020-01-01,3,19,597.72
3693149,2020-01-01,3,8,403.85
3640999,2020-01-01,3,3,49.01
3792919,2020-01-01,3,36,9483.08
3773669,2020-01-01,3,222,10303.61
3690159,2020-01-01,3,8,402.5
3812689,2020-01-01,3,190,45947.89
3602339,2020-01-01,3,53,5945
3719769,2020-01-01,3,8,742.45
3338399,2020-01-01,3,39,25648.43
3802829,2020-01-01,3,15,1586.8
3742569,2020-01-01,3,2,121.01
3695639,2020-01-01,3,43,1074.97
3877759,2020-01-01,3,2,14.76
3589879,2020-01-01,3,20,3522
3778139,2020-01-01,3,5,154.75
3895909,2020-01-01,3,2,190.8
3823239,2020-01-01,3,9,10824.52
3782289,2020-01-01,3,23,325.89
3742629,2020-01-01,3,17,273.32
3821269,2020-01-01,3,52,8799.9
3305809,2020-01-01,3,6,494.64
3880529,2020-01-01,3,2,302.74
3870329,2020-01-01,3,4,165.3
3822189,2020-01-01,3,31,803.04
3550389,2020-01-01,3,6,108.54
3752429,2020-01-01,3,2,2
3756799,2020-01-01,3,21,27692
3747739,2020-01-01,3,15,420
3631779,2020-01-01,3,20,743
3635739,2020-01-01,3,15,1778
3644069,2020-01-01,3,28,2478.45
3666459,2020-01-01,3,10,285
3650309,2020-01-01,3,19,13988.83
3798719,2020-01-01,3,7,3327.3
3429259,2020-01-01,3,49,640.5
3812409,2020-01-01,3,63,3875.63
3747549,2020-01-01,3,30,1050
3756699,2020-01-01,3,53,560
3718809,2020-01-01,3,4,239.6
3580199,2020-01-01,3,8,196.5
